City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jamestown,42.097,-79.2353,49.01,44,100,11.5,US,1682445754
1,guerrero negro,27.9769,-114.0611,66.42,56,70,10.6,MX,1682445803
2,lompoc,34.6391,-120.4579,64.62,87,40,10.36,US,1682445798
3,talnakh,69.4865,88.3972,34.21,85,84,6.13,RU,1682445940
4,port saint john's,-31.6229,29.5448,71.33,91,97,5.37,ZA,1682445940
5,kogalym,62.2654,74.4791,30.52,98,100,8.57,RU,1682445940
6,port-aux-francais,-49.35,70.2167,39.85,79,9,25.39,TF,1682445940
7,adamstown,-25.066,-130.1015,77.14,83,4,11.63,PN,1682445796
8,blackmans bay,-43.0167,147.3167,55.53,81,0,5.57,AU,1682445941
9,punta arenas,-53.15,-70.9167,48.31,57,40,20.71,CL,1682445941
10,albany,42.6001,-73.9662,53.78,54,81,1.99,US,1682445922
11,dowlatabad,32.7998,51.6955,58.68,58,0,4.61,IR,1682445941
12,gamay,12.3854,125.2979,77.22,85,87,4.76,PH,1682445941
13,georgetown,5.4112,100.3354,82.33,93,20,5.99,MY,1682445941
14,kungur,57.4368,56.9593,56.28,56,66,7.09,RU,1682445942
15,beidao,34.5686,105.8933,52.29,70,22,5.77,CN,1682445942
16,teknaf,20.8624,92.3058,78.28,72,27,6.98,BD,1682445942
17,wailua homesteads,22.0669,-159.378,72.12,81,87,4.0,US,1682445805
18,grytviken,-54.2811,-36.5092,39.04,98,100,10.42,GS,1682445942
19,waitangi,-43.9535,-176.5597,59.83,83,75,8.99,NZ,1682445784
20,chernyshevskiy,63.0128,112.4714,19.92,97,100,3.74,RU,1682445791
21,mata-utu,-13.2816,-176.1745,81.63,76,99,4.52,WF,1682445943
22,port alfred,-33.5906,26.891,68.18,94,96,4.0,ZA,1682445943
23,majene,-3.5403,118.9707,78.22,86,100,3.89,ID,1682445943
24,edinburgh of the seven seas,-37.0676,-12.3116,59.85,59,74,26.49,SH,1682445943
25,zhangzhou,24.5133,117.6556,66.13,83,62,2.64,CN,1682445944
26,loganville,33.839,-83.9007,70.92,54,20,10.36,US,1682445697
27,port blair,11.6667,92.75,82.2,75,64,2.04,IN,1682445774
28,olonkinbyen,70.9221,-8.7187,25.39,70,95,12.95,SJ,1682445944
29,ksar el boukhari,35.8889,2.7491,75.97,24,52,7.61,DZ,1682445944
30,east london,-33.0153,27.9116,70.74,88,75,8.05,ZA,1682445944
31,ushuaia,-54.8,-68.3,46.06,57,40,9.22,AR,1682445945
32,arraial do cabo,-22.9661,-42.0278,82.36,73,20,18.41,BR,1682445945
33,vorgashor,67.5833,63.95,11.91,95,11,7.78,RU,1682445945
34,la passe,45.5549,-0.8967,57.43,90,100,7.96,FR,1682445945
35,hermanus,-34.4187,19.2345,58.8,78,30,1.5,ZA,1682445946
36,touros,-5.1989,-35.4608,82.83,75,95,12.46,BR,1682445895
37,nazca,-14.8333,-74.95,84.54,45,7,6.4,PE,1682445946
38,bafata,12.1667,-14.75,105.28,12,1,1.81,GW,1682445946
39,st. john's,47.5649,-52.7093,39.67,94,100,18.99,CA,1682445874
40,thompson,55.7435,-97.8558,42.96,36,20,4.61,CA,1682445947
41,tolanaro,-25.0319,46.9987,71.67,73,40,6.91,MG,1682445947
42,puerto natales,-51.7236,-72.4875,50.45,50,20,21.85,CL,1682445745
43,villa ojo de agua,-29.5,-63.6938,71.53,54,25,7.63,AR,1682445947
44,invercargill,-46.4,168.35,53.02,82,95,1.99,NZ,1682445725
45,afaahiti,-17.75,-149.2833,75.07,85,100,15.52,PF,1682445947
46,tura,25.5198,90.2201,73.31,43,15,3.11,IN,1682445947
47,ribeira brava,32.65,-17.0667,73.13,72,49,2.86,PT,1682445948
48,mpongwe,-13.5091,28.155,64.4,69,1,5.95,ZM,1682445948
49,savanna-la-mar,18.219,-78.1332,85.93,63,74,4.43,JM,1682445948
50,male,4.1748,73.5089,85.95,84,75,5.75,MV,1682445948
51,tutoia,-2.7619,-42.2744,81.64,84,40,8.9,BR,1682445948
52,badger,64.8,-147.5333,24.67,46,40,9.22,US,1682445948
53,port mathurin,-19.6833,63.4167,79.16,79,14,20.13,MU,1682445671
54,margaret river,-33.95,115.0667,60.37,70,100,21.41,AU,1682445797
55,puerto ayora,-0.7393,-90.3518,84.16,89,3,4.0,EC,1682445805
56,peterhead,57.5058,-1.7981,43.2,58,74,15.41,GB,1682445949
57,hamilton,39.1834,-84.5333,58.93,38,94,3.0,US,1682445656
58,ulsteinvik,62.3432,5.8487,38.91,81,100,13.0,NO,1682445949
59,catia la mar,10.6038,-67.0303,91.99,62,75,6.91,VE,1682445949
60,polyarnyy,69.1989,33.4478,25.5,82,17,10.65,RU,1682445949
61,meulaboh,4.1363,96.1285,78.08,88,80,3.74,ID,1682445949
62,walvis bay,-22.9575,14.5053,65.08,68,17,18.07,,1682445950
63,bredasdorp,-34.5322,20.0403,59.88,77,29,2.42,ZA,1682445950
64,west island,-12.1568,96.8225,78.78,83,75,19.57,CC,1682445950
65,iqaluit,63.7506,-68.5145,31.73,100,75,3.44,CA,1682445950
66,iskateley,67.6803,53.1512,21.4,88,9,13.15,RU,1682445950
67,las tablas,7.7667,-80.2833,85.82,64,41,10.47,PA,1682445950
68,utrik,11.2278,169.8474,80.73,78,89,18.66,MH,1682445950
69,suntar,62.1444,117.6319,23.38,98,100,3.47,RU,1682445951
70,baker city,44.7749,-117.8344,51.51,43,0,11.5,US,1682445947
71,vernon,50.2581,-119.2691,58.3,48,99,3.44,CA,1682445951
72,kapuskasing,49.4169,-82.4331,32.09,86,100,10.36,CA,1682445951
73,musoma,-1.5,33.8,69.82,88,75,0.0,TZ,1682445951
74,barguzin,53.6167,109.6167,29.55,64,62,0.04,RU,1682445952
75,bang saphan,11.2126,99.5117,78.26,86,85,3.65,TH,1682445952
76,puerto deseado,-47.7503,-65.8938,51.84,61,100,10.67,AR,1682445720
77,aykhal,66.0,111.5,15.71,95,100,7.65,RU,1682445952
78,paracuru,-3.41,-39.0306,83.08,72,98,10.42,BR,1682445952
79,dakhla,23.6848,-15.958,69.82,78,6,21.85,EH,1682445952
80,wynyard,-41.0,145.7167,49.98,89,0,3.89,AU,1682445953
81,mar del plata,-38.0023,-57.5575,68.95,82,75,4.61,AR,1682445786
82,ust-nera,64.5667,143.2,9.41,99,83,4.68,RU,1682445809
83,ribeira grande,38.5167,-28.7,64.8,94,40,15.01,PT,1682445788
84,kodiak,57.79,-152.4072,34.27,99,100,10.85,US,1682445806
85,hovd,48.0056,91.6419,30.81,50,34,11.92,MN,1682445953
86,champagnole,46.7445,5.9135,51.49,72,100,1.5,FR,1682445953
87,buaran,-7.05,109.55,80.89,90,100,2.26,ID,1682445953
88,robertsport,6.7533,-11.3686,84.18,77,81,11.86,LR,1682445954
89,saipan,15.1355,145.701,81.3,100,75,18.41,MP,1682445954
90,saldanha,-33.0117,17.9442,62.65,76,1,10.67,ZA,1682445954
91,bonthe,7.5264,-12.505,85.44,69,98,12.35,SL,1682445954
92,klyuchi,52.2667,79.1667,43.63,57,18,10.78,RU,1682445954
93,bandon,51.7469,-8.7425,47.79,91,100,14.7,IE,1682445954
94,kapa'a,22.0752,-159.319,74.48,77,100,9.22,US,1682445955
95,belyy yar,53.6039,91.3903,30.09,59,0,8.95,RU,1682445955
96,mchinji,-13.7984,32.8802,62.04,80,2,3.22,MW,1682445955
97,cestos city,5.46,-9.5828,83.14,77,98,8.95,LR,1682445955
98,papatowai,-46.5619,169.4708,47.62,72,74,17.38,NZ,1682445955
99,mermoz boabab,14.7065,-17.4758,82.96,83,0,13.8,SN,1682445955
100,port elizabeth,-33.918,25.5701,68.09,90,0,3.44,ZA,1682445781
101,bilibino,68.0546,166.4372,6.87,75,96,3.27,RU,1682445782
102,steinbach,50.1667,8.5667,52.0,50,0,11.5,DE,1682445956
103,bardai,11.65,7.2333,93.07,18,95,4.0,NG,1682445956
104,papao,-17.75,-149.55,76.68,84,100,16.31,PF,1682445956
105,usogorsk,63.4106,48.6872,30.16,99,88,4.23,RU,1682445956
106,kanniyakumari,8.0833,77.5667,83.07,76,99,2.86,IN,1682445956
107,puerto leguizamo,-0.1934,-74.7819,88.0,52,39,2.55,CO,1682445956
108,timbuktu,16.7735,-3.0074,97.16,6,0,10.94,ML,1682445700
109,moab,38.5733,-109.5498,58.6,26,85,3.0,US,1682445660
110,tiksi,71.6872,128.8694,6.78,99,100,4.36,RU,1682445957
111,bethel,41.3712,-73.414,58.62,46,77,1.99,US,1682445712
112,taltal,-25.4,-70.4833,67.93,74,9,5.75,CL,1682445957
113,malabar,-33.9667,151.25,60.51,88,20,6.91,AU,1682445957
114,borgarnes,64.5383,-21.9206,44.65,33,51,10.11,IS,1682445957
115,okahandja,-21.9833,16.9167,79.39,35,48,8.23,,1682445957
116,howrah,22.5892,88.3103,86.0,70,40,3.44,IN,1682445957
117,petropavlovsk-kamchatsky,53.0452,158.6483,30.79,74,75,4.47,RU,1682445940
118,hadibu,12.65,54.0333,82.62,71,71,3.24,YE,1682445958
119,kharkhorin,47.1975,102.8238,43.29,38,100,5.37,MN,1682445958
120,kistelek,46.4725,19.9797,46.85,88,71,7.99,HU,1682445958
121,longyearbyen,78.2186,15.6401,24.64,58,0,2.3,SJ,1682445711
122,turpan,42.9333,89.1667,68.79,24,100,6.51,CN,1682445958
